Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
i.aeonbankk.jp,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
careful-halved-witness.glitch.me,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
ipfs.best-practice.se,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
gateway.ipfs.io,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1
2b5fd26d-484e-41b2-abf0-77b6fba99879.id.repl.co,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
bafybeiayplneb2f2qm3vc63fglxzwayov22ej36jt2b57yiojpc5asfqxa.ipfs.cf-ipfs.com,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ggsexpole.web.app,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ftxtrading.ltd,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
radianttron.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
lew.ameliagosia.com.pl,0,1,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1
ambev.site.pro,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
link-peytelili.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
pdf-adobeacrobat-encryption.web.app,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ltauappkcx03.z16.web.core.windows.net,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
priceless-bassi.91-218-65-6.plesk.page,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
biomed.com.co,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
DarkCelebratedDefinition--interperuhome.repl.co,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
saisoncard.co.jp.50gb987.xyz,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
